Year,Population,Change Percentage
2010,230710,
2011,235308,1.99
2012,241107,2.46
2013,247002,2.44
2014,253316,2.56
2015,258581,2.08
2016,265355,2.62
2017,269578,1.59
2018,274291,1.75
2019,278993,1.71
2020,283506,1.62
2021,290877,2.6
2022,298135,2.56
